timestamp,account,followed by
2024-05-08 19:29:58,lagrangedev,im_manderson
2024-05-08 19:30:59,IsomorphicLabs,Shaughnessy119
2024-05-08 19:30:59,sundarpichai,Shaughnessy119
2024-05-08 19:30:59,demishassabis,Shaughnessy119
2024-05-08 19:30:59,GoogleDeepMind,Shaughnessy119
2024-05-08 19:33:14,0xBalloonLover,anjan_vinod
2024-05-08 19:34:45,schmidtfutures,masonnystrom
2024-05-08 19:34:45,ethereum,masonnystrom
2024-05-08 19:34:45,pLRXdGKWyb,masonnystrom
2024-05-08 19:34:45,0xcush,masonnystrom
2024-05-08 19:35:27,BlockchainRI,joeykrug
2024-05-08 19:35:27,Accenture,joeykrug
2024-05-08 19:35:27,Aryonchain,joeykrug
2024-05-08 19:35:27,CMT_Digital,joeykrug
2024-05-08 19:35:27,Columbia,joeykrug
2024-05-08 19:40:06,0xLawliette,reganbozman
2024-05-08 19:40:06,intuitio_,reganbozman
2024-05-08 19:41:06,GRsWjljp2L,bneiluj
2024-05-08 19:41:06,labs_electron,bneiluj
2024-05-08 19:41:35,split_research,anildelphi
2024-05-08 19:41:35,splitcapital,anildelphi
2024-05-08 19:43:32,CasaHODL,ErikVoorhees
2024-05-08 19:43:32,INALdNGvCP,ErikVoorhees
2024-05-08 19:43:32,MistralAI,ErikVoorhees
2024-05-08 19:43:55,OpaqueSys,tarunchitra
2024-05-08 19:43:55,ralucaadapopa,tarunchitra
2024-05-08 19:43:55,PreVeil,tarunchitra
2024-05-08 19:43:55,ExocoreNetwork,tarunchitra
