Username,ID
0xjim_,1580018420363726853
BigBrainKasey,1469482777045315584
_JonahB_,1460079881434378244
R89Capital,1458910555209547782
SOLBigBrain,1424905944857722887
FrankieIsLost,1399513177973350403
DAnconia_Crypto,1381965565615468544
AlanaDLevin,1347640337070755851
CarlKVogel,1332729339188817929
rishisthinking,1305860022749007872
n2ckchong,1287487599691456512
Sfermion_,1156635271997399042
eddylazzarin,1147599431568482304
shayonsengupta,1099755770781073410
CryptoHayes,983993370048630785
TrustlessState,981208355115974656
SpartanBlack_1,973563265811759104
StaniKulechov,952921795316912133
alliancedao,909513498652225538
_charlienoyes,895723521153703936
AndrewSteinwold,894317267273560064
pythianism,887851445982068737
hack_vc,875019401707180032
janehk,849626577658822656
AriDavidPaul,847882255540342784
ljin18,774642558853009408
QwQiao,712457848874086400
cburniske,710463119886262272
CremeDeLaCrypto,4826176219
saraduit,4544645238
gham1lt0n,3409386573
AviFelman,3364497995
samczsun,2844400678
0xbilly,2581302289
tim_khoury,2548154928
im_manderson,2415936756
Melt_Dem,2363290915
aeyakovenko,2327407569
cobie,2259434528
Shaughnessy119,2215937899
twobitidiot,2193616844
balajis,2178012643
sreeramkannan,2166711024
DegenSpartan,1978953986
sethginns,1872617959
SpencerApplebau,1636288561
danheld,1598709350
anjan_vinod,1592447365
spencernoon,1527806202
TusharJain_,1523751438
EvanTheFeng,1380880813
Arthur_0x,1357451976
masonnystrom,1279369220
MLescrauwaet,1260242778
Rewkang,1138033434
joeykrug,1098681096
santiagoroel,737132550
hasufl,566534886
vincentweisser,427766081
nic__carter,420308365
EMostaque,407800233
NicolasPriem,395625130
rleshner,394480074
isaiah_wash,383513771
APompliano,339061487
_kinjalbshah,327058488
FEhrsam,315991624
VitalikButerin,295218901
AshAEgan,293770102
danrobinson,273288231
yuan_han_li,267691656
AriannaSimpson,267485701
reganbozman,244171819
tomhschmidt,239090734
hosseeb,231208649
aly_madhavji,214948918
bneiluj,196519120
anildelphi,182119735
aaronmkern,181372550
lui1of1,171745298
paradigm,166765173
chainyoda,112509659
pbartstephens,101808935
sandeepnailwal,100798845
sbmckeon,93088393
lalleclausen,84276208
betashop,67603078
ErikVoorhees,61417559
simonkim_nft,59951236
tarunchitra,53836928
KyleSamani,46332443
matthuang,44322763
ASvanevik,42584365
beller,39384997
kankanivishal,38164463
Austin_Federa,38055242
NTmoney,27557141
Bfaviero,27169884
MariaShen,27134030
jessewldn,26149295
