Account,2024-04-05,2024-04-08,2024-05-03,2024-04-17,2024-05-10,2024-05-15,2024-05-08,2024-05-09,2024-05-20,Total Follows
paradigm,25.0,35.0,8.0,24.0,1.0,1.0,2.0,0.0,2.0,98.0
coinbase,30.0,25.0,11.0,19.0,1.0,2.0,2.0,1.0,1.0,92.0
ethereum,18.0,24.0,15.0,21.0,0.0,0.0,3.0,0.0,0.0,81.0
eigenlayer,19.0,22.0,12.0,23.0,0.0,1.0,0.0,0.0,1.0,78.0
monad_xyz,16.0,20.0,7.0,20.0,1.0,1.0,1.0,1.0,1.0,68.0
0xPolygon,14.0,19.0,9.0,16.0,2.0,3.0,1.0,2.0,1.0,67.0
Coinbase,16.0,18.0,13.0,15.0,0.0,1.0,1.0,0.0,1.0,65.0
echodotxyz,17.0,22.0,7.0,15.0,0.0,0.0,0.0,0.0,4.0,65.0
solana,15.0,23.0,7.0,18.0,0.0,0.0,0.0,0.0,1.0,64.0
0xBalloonLover,11.0,17.0,13.0,11.0,0.0,1.0,3.0,0.0,0.0,56.0
base,14.0,18.0,5.0,10.0,0.0,2.0,4.0,0.0,2.0,55.0
a16z,12.0,17.0,9.0,16.0,0.0,0.0,0.0,0.0,1.0,55.0
MIT,12.0,16.0,7.0,13.0,0.0,1.0,0.0,0.0,3.0,52.0
search?q=%24ETH&src=cashtag_click,12.0,18.0,6.0,12.0,0.0,1.0,1.0,0.0,1.0,51.0
dragonfly_xyz,11.0,19.0,6.0,9.0,0.0,0.0,1.0,1.0,1.0,48.0
messaricrypto,11.0,14.0,5.0,12.0,0.0,0.0,2.0,0.0,2.0,46.0
stanford,9.0,16.0,4.0,12.0,0.0,0.0,1.0,0.0,4.0,46.0
Stanford,12.0,12.0,6.0,13.0,0.0,0.0,2.0,0.0,0.0,45.0
ethena_labs,11.0,16.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,45.0
arbitrum,13.0,14.0,5.0,11.0,0.0,0.0,2.0,0.0,0.0,45.0
consensys,9.0,14.0,5.0,13.0,0.0,2.0,0.0,0.0,0.0,43.0
Harvard,9.0,15.0,5.0,11.0,0.0,0.0,1.0,0.0,1.0,42.0
ycombinator,9.0,13.0,6.0,11.0,0.0,1.0,0.0,0.0,1.0,41.0
GoldmanSachs,10.0,14.0,4.0,9.0,1.0,0.0,1.0,1.0,0.0,40.0
ConsenSys,10.0,12.0,7.0,7.0,0.0,0.0,3.0,0.0,1.0,40.0
Consensys,5.0,13.0,9.0,9.0,0.0,1.0,1.0,0.0,0.0,38.0
heliuslabs,11.0,14.0,0.0,10.0,0.0,2.0,0.0,0.0,1.0,38.0
harvard,10.0,10.0,5.0,10.0,1.0,0.0,1.0,0.0,0.0,37.0
harvardhbs,9.0,14.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,36.0
bidclubio,9.0,12.0,0.0,13.0,0.0,1.0,1.0,0.0,0.0,36.0
megaeth_labs,8.0,12.0,5.0,9.0,0.0,1.0,0.0,0.0,1.0,36.0
MartinShkreli,5.0,11.0,10.0,9.0,0.0,1.0,0.0,0.0,0.0,36.0
jpmorgan,9.0,14.0,2.0,9.0,0.0,0.0,1.0,0.0,1.0,36.0
OpenAI,8.0,9.0,1.0,9.0,0.0,7.0,0.0,0.0,1.0,35.0
oMIiyJcIzk,5.0,11.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,35.0
cognition_labs,9.0,15.0,1.0,7.0,0.0,0.0,2.0,0.0,1.0,35.0
berachain,5.0,10.0,7.0,11.0,0.0,0.0,1.0,0.0,1.0,35.0
DuU6MMqcgQ,5.0,11.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,35.0
lzin5ByH0t,5.0,11.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,35.0
0xMert_,10.0,14.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,35.0
Solana,8.0,9.0,4.0,8.0,1.0,0.0,1.0,3.0,0.0,34.0
uwaterloo,8.0,10.0,6.0,9.0,0.0,0.0,0.0,0.0,1.0,34.0
multicoincap,10.0,14.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,33.0
