id,name,username,created_at,description,public_metrics,verified
,,,,,,,"{'created_at': '2023-12-30T16:58:21.000Z', 'name': 'SUPERBASEDD', 'verified': False, 'username': 'SUPERBASEDD', 'id': '1741141661315452928', 'description': 'leading online destination for degeneracy', 'public_metrics': {'followers_count': 1319, 'following_count': 71, 'tweet_count': 38, 'listed_count': 4, 'like_count': 671}}"
1462063248673579010,Zach Pandl,LowBeta_,2021-11-20T14:20:25.000Z,Research @grayscale. Opinions are my own. Disclosure: https://t.co/ojLj461QLg,924,35
17416571,Airbnb,Airbnb,2008-11-16T02:10:58.000Z,"Opening the door to extraordinary experiences
Customer support ➡️ @AirbnbHelp",877444,6137
1898501497,Citi Ventures,CitiVentures,2013-09-23T21:34:46.000Z,"We catalyze innovation at @Citi by investing in category-defining startups, building partnerships, convening stakeholders and delivering thought leadership.",3354,64
1459195459319250951,Texas Bitcoin Foundation,TXBitcoinFound,2021-11-12T16:25:20.000Z,Producing original research and educating the public about the value and promise of Bitcoin.,2449,110
1299523632868110338,Teng Yan 🥕,0xPrismatic,2020-08-29T01:46:02.000Z,"I like Crypto, AI, Science & NFTs. e/Acc. Prev: @Delphi_Digital, @holmusk, medicine // Writings: https://t.co/hFTrhGYUyQ // Currently chasing a grand ambition",14865,490
827465970687963136,Ivy Peng-彭昭,ivypeng_80,2017-02-03T10:37:15.000Z,"CFA. Founder of Open Infra Capital / Zillion Intelligence / Yunhe Capital. Investor, author, passionate about creating.",12561,6
424304399,Dan Smith,smyyguy,2011-11-29T16:21:42.000Z,@BlockworksRes || @LightspeedPodHQ,8796,226
1589397474040549382,Sei Labs,Sei_Labs,2022-11-06T23:21:34.000Z,Building on the Sei blockchain. Visit @Seinetwork for news and updates. RT’s and likes are not endorsements.,5462,47
913842773253427200,Rui Huang,RuiHuang_art,2017-09-29T19:07:50.000Z,Scifi Artist｜Blend file&Tutorial ： https://t.co/GeufiDWSmb,76039,727
51778088,Arshan,ArshanKhanifar,2009-06-28T17:00:36.000Z,"shit at everything, good at nothing @ritualnet",1329,30
1066406674855063552,Matteo,mlunghi2000,2018-11-24T19:02:18.000Z,23. Tech Lead @PalantirTech | prev. AI & crypto startups + @BrownUniversity | views my own,1632,31
1898501497,Citi Ventures,CitiVentures,2013-09-23T21:34:46.000Z,"We catalyze innovation at @Citi by investing in category-defining startups, building partnerships, convening stakeholders and delivering thought leadership.",3354,64
1001490017917784064,Dan Tapiero,DTAPCAP,2018-05-29T15:46:41.000Z,Founder/CEO/CIO/Managing Partner- @10tfund and @1RTPartners. DTAP Capital ('03) AGCOA ('06) GBI ('09). Macro PM-20yrs. 5GOATS. Btc+Bullion hodler.,115431,2356
1485762283032969217,Quekz,quekz_,2022-01-24T23:52:12.000Z,4500 Quekz on Solana | come Quek with us  https://t.co/XAZLE05vyK  https://t.co/A5UopVS1bw Advisor: @DegenTW_,5574,21
752712449321644032,Scale AI,scale_AI,2016-07-12T03:53:27.000Z,"Our mission is to accelerate the development of AI. We believe that to make the best models, you need the best data.",43241,849
1460405056516378627,Moira,zkMoira,2021-11-16T00:31:29.000Z,taking up blockspace since ‘16,1981,14
1693215397443506176,riva,0xRMT,2023-08-20T10:56:31.000Z,lil/acc,2830,18
956841052563910656,The Spartan Group,TheSpartanGroup,2018-01-26T10:47:38.000Z,"We advise, invest, and build with the best entrepreneurs in Web3.

Studio: @TheSpartanLabs",65533,1535
11970742,Shant (shahnt)🛡️ ᛋ,smaroo,2008-01-08T03:10:47.000Z,listener • reasoner • first principles maxi • COO @delv_tech ᛋ • e/acc • 🎟️ • ✨,3345,60
22685229,Jason Kwon,jasonkwon,2009-03-03T21:44:32.000Z,CSO @openai,20882,300
1647428363965935617,Obsolete Sony,ObsoleteSony,2023-04-16T02:35:35.000Z,"Embark on a journey through the obscure world of forgotten, odd, and obsolete Sony devices.",53115,219
1620418337854349313,commune.ai,communeaidotorg,2023-01-31T13:46:59.000Z,Decentralized. Permissionless. Composable. Collaborative. Incentivized. Adaptable. OpenSource. Untrademarked. join us https://t.co/c2P4QWW0Gy,14075,177
996116504432164864,Blocknative | mempool.eth 🔮,blocknative,2018-05-14T19:54:16.000Z,Real-Time Observability for Public Blockchain Networks | Pre-chain Explorer | Transaction Simulation | Web3 Onboard | Gas Prediction | MEV Protection,9797,240
1369184352135942144,"ck.eth (-π, π)",CK_2049,2021-03-09T07:13:45.000Z,Research. Game theory. Shape rotator.,390,4
